"01-16-2025","Open PO Report by Vendor, Salesman, Date Created","From:12-18-2024 To 01-16-2025 (mm-dd-yyyy)","all","","","","","","",""
"","","","","","","","","","",""
"Vendor","Location","PO#","Status","Date Created","So#","AC#","Job Name","Sales Person","CP#","Open total"
"","Raleigh","P120-1207122","Approved","01/16/2025","","Beazer Homes - Raleigh","","","susan.carroll","4,369.24"
"","Raleigh","P120-1207102","Approved","01/16/2025","S120-282540","Lennar - Raleigh","176 Annandale","","britney.pierson","903.12"
"","Raleigh","P120-1207089","Approved","01/16/2025","S120-282075","Beazer Homes - Raleigh","8 Watkins Grove","","susan.carroll","4,978.78"
"","Raleigh","P120-1207076","Approved","01/16/2025","S120-282524","TRI Pointe Homes - Raleigh","12 Twinleaf THs","","kristina.raynor.ral","265.90"
"","Raleigh","P120-1207074","Approved","01/16/2025","S120-282518","TRI Pointe Homes - Raleigh","11 Twinleaf THs","","kristina.raynor.ral","265.90"
"","Raleigh","P120-1207073","Approved","01/16/2025","S120-282516","TRI Pointe Homes - Raleigh","10 Twinleaf THs","","kristina.raynor.ral","265.90"
"","Raleigh","P120-1207072","Approved","01/16/2025","S120-282514","TRI Pointe Homes - Raleigh","9 Twinleaf THs","","kristina.raynor.ral","265.90"
"","Raleigh","P120-1207071","Approved","01/16/2025","S120-282512","TRI Pointe Homes - Raleigh","8 Twinleaf THs","","kristina.raynor.ral","265.90"
"","Raleigh","P120-1207067","Approved","01/16/2025","S120-282503","TRI Pointe Homes - Raleigh","7 Twinleaf THs","","kristina.raynor.ral","265.90"
"","Raleigh","P120-1207060","Approved","01/16/2025","S120-282454","Lennar - Raleigh","704 Edge of Auburn","","britney.pierson","1,592.32"
"","Raleigh","P120-1207022","Approved","01/16/2025","S120-282412","Lennar - Raleigh","709 Edge of Auburn","","kristina.raynor.ral","700.76"
"","Raleigh","P120-1207018","Approved","01/16/2025","S120-282407","Vanir Installed Sales Raleigh - House Account","Antonios Truck","","kristina.raynor.ral","547.14"
"","Raleigh","P120-1207013","Approved","01/16/2025","S120-282397","RiverWild Homes - Raleigh","1 Eller Farms","","kristina.raynor.ral","797.97"
"","Raleigh","P120-1206988","Approved","01/16/2025","S120-282359","Mungo Homes - Raleigh","36 Olivet","","kristina.raynor.ral","14.24"
"","Raleigh","P120-1206985","Approved","01/16/2025","S120-282294","Lennar - Raleigh","703 Edge of Auburn","","britney.pierson","1,693.54"
"","Raleigh","P120-1206954","Approved","01/16/2025","S120-282287","Adams Homes - North Raleigh Division","177 Williams Grove","","kristina.raynor.ral","67.19"
"","Raleigh","P120-1206914","Approved","01/16/2025","S120-282150","Lennar - Raleigh","175 Annandale","","britney.pierson","1,456.23"
"","Raleigh","P120-1206910","Approved","01/16/2025","S120-282188","Mill Creek Residential - Raleigh","38 Amavi Creek TH","","kristina.raynor.ral","79.56"
"","Raleigh","P120-1206904","Approved","01/16/2025","S120-282167","Meritage - Raleigh","79 River Glen","","faith.hudson","4,158.27"
"","Raleigh","P120-1206900","Approved","01/16/2025","S120-279862","Meritage - Raleigh","80 River Glen","","faith.hudson","4,619.99"
"","Raleigh","P120-1206896","Approved","01/16/2025","S120-282147","KB Home - Raleigh","8 Belterra","","yamileth.vargas","8.31"
"","Raleigh","P120-1206871","Approved","01/15/2025","","Meritage - Raleigh","","","faith.hudson","3,938.39"
"","Raleigh","P120-1206870","Approved","01/15/2025","S120-279850","Meritage - Raleigh","78 River Glen","","faith.hudson","4,290.06"
"","Raleigh","P120-1206865","Approved","01/15/2025","S120-279846","Meritage - Raleigh","77 River Glen","","faith.hudson","5,069.34"
"","Raleigh","P120-1206864","Approved","01/15/2025","S120-279844","Meritage - Raleigh","76 River Glen","","faith.hudson","5,146.86"
"","Raleigh","P120-1206861","Approved","01/15/2025","S120-282074","Lennar - Raleigh","183 Annandale","","britney.pierson","1,356.63"
"","Raleigh","P120-1206853","Approved","01/15/2025","S120-282049","New Home Inc. LLC - Raleigh","157 Duncan Creek","","ryka.heath","3,996.92"
"","Raleigh","P120-1206851","Approved","01/15/2025","S120-282045","Beazer Homes - Raleigh","27 Watkins Grove","","susan.carroll","4,300.98"
"","Raleigh","P120-1206850","Approved","01/15/2025","S120-282053","Adams Homes - North Raleigh Division","","","kristina.raynor.ral","195.18"
"","Raleigh","P120-1206848","Approved","01/15/2025","S120-279828","Meritage - Raleigh","75 River Glen","","faith.hudson","4,424.07"
"","Raleigh","P120-1206831","Approved","01/15/2025","S120-279910","KB Home - Raleigh","146 Preserve @ Jones Dairy","","faith.hudson","163.02"
"","Raleigh","P120-1206826","Approved","01/15/2025","S120-281964","Lennar - Raleigh","665 Edge of Auburn","","britney.pierson","1,672.88"
"","Raleigh","P120-1206741","Approved","01/15/2025","S120-281925","Stanley Martin Homes - Raleigh","39 Falls Village","","yamileth.vargas","7.91"
"","Raleigh","P120-1206739","Approved","01/15/2025","S120-281844","Scott Lee Homes, Inc - Raleigh","64 Kamdon Ranch","","linda.clifton","4,691.77"
"","Raleigh","P120-1206738","Approved","01/15/2025","S120-281520","Stanley Martin Homes - Raleigh","34 Falls Village","","yamileth.vargas","118.62"
"","Raleigh","P120-1206734","Approved","01/15/2025","S120-281532","Stanley Martin Homes - Raleigh","42 Falls Village South","","yamileth.vargas","105.26"
"","Raleigh","P120-1206733","Approved","01/15/2025","S120-280192","Mungo Homes - Raleigh","6 Maison Ridge","","faith.hudson","652.53"
"","Raleigh","P120-1206714","Approved","01/15/2025","S120-281885","Mungo Homes - Raleigh","35 Olivet","","kristina.raynor.ral","243.32"
"","Raleigh","P120-1206707","Approved","01/15/2025","S120-281818","Lennar - Raleigh","5 Finley Landing","","britney.pierson","992.57"
"","Raleigh","P120-1206700","Approved","01/15/2025","S120-281865","Lennar - Raleigh","110 Franklin TH","","kristina.raynor.ral","225.13"
"","Raleigh","P120-1206696","Approved","01/15/2025","S120-281860","Lennar - Raleigh","109 Franklin TH","","kristina.raynor.ral","217.01"
"","Raleigh","P120-1206679","Approved","01/15/2025","S120-281786","Mungo Homes - Raleigh","5 Maison Ridge","","faith.hudson","1,095.45"
"","Raleigh","P120-1206658","Approved","01/15/2025","S120-281813","Adams Homes - South Raleigh Division","62 Southern Estates","","kristina.raynor.ral","94.33"
"","Raleigh","P120-1206591","Approved","01/15/2025","S120-281754","Blue Heel Construction- Raleigh","3302-1/2 Hall Place","","kristina.raynor.ral","39.60"
"","Raleigh","P120-1206562","Approved","01/15/2025","S120-281717","RiverWild Homes - Raleigh","75 Archer's Park","","kristina.raynor.ral","90.16"
"","Raleigh","P120-1206556","Approved","01/15/2025","S120-281643","Lennar - Raleigh","159 Annandale","","britney.pierson","1,550.67"
"","Raleigh","P120-1206511","Approved","01/15/2025","S120-281654","Scott Lee Homes, Inc - Raleigh","49 Kamdon Ranch","","linda.clifton","6,199.16"
"","Raleigh","P120-1206508","Approved","01/15/2025","S120-281674","Vanir Installed Sales, LLC - House Account","Truck Materials","","kristina.raynor.ral","324.52"
"","Raleigh","P120-1206492","Approved","01/15/2025","S120-281630","RiverWild Homes - Raleigh","74 Archer's Park","","patricia.johnson","2,725.21"
"","Raleigh","P120-1206409","Approved","01/15/2025","S120-281469","Lennar - Raleigh","169 Annandale","","britney.pierson","1,848.90"
"","Raleigh","P120-1206405","Approved","01/15/2025","S120-281568","RiverWild Homes - Raleigh","73 Archer's Park","","patricia.johnson","3,584.01"
"","Raleigh","P120-1206379","Approved","01/15/2025","S120-281574","Adams Homes - North Raleigh Division","15 Magnolia Estates","","ryka.heath","3,828.21"
"","Raleigh","P120-1206346","Approved","01/15/2025","S120-281515","RiverWild Homes - Raleigh","72 Archer's Park","","patricia.johnson","3,007.69"
"","Raleigh","P120-1206299","Finalized","01/14/2025","S120-281474","Stanley Martin Homes - Raleigh","58 Falls Village","","kristina.raynor.ral","6.62"
"","Raleigh","P120-1206298","Approved","01/14/2025","S120-281473","Alpha Contracting And Real Estate Group, LLC- Raleigh","120 Sequoia Drive","","kristina.raynor.ral","312.51"
"","Raleigh","P120-1206291","Approved","01/14/2025","S120-281408","RiverWild Homes - Raleigh","10 Eller Farms","","patricia.johnson","363.94"
"","Raleigh","P120-1206208","Approved","01/14/2025","S120-281202","Lennar - Raleigh","170 Annandale","","britney.pierson","1,372.92"
"","Raleigh","P120-1206198","Order Partially Received","01/14/2025","S120-281262","Beazer Homes - Raleigh","4 Watkins Grove","","kristina.raynor.ral","345.62"
"","Raleigh","P120-1206189","Order Partially Received","01/14/2025","S120-281236","Adams Homes - South Raleigh Division","42 Kipling Creek","","kristina.raynor.ral","210.40"
"","Raleigh","P120-1206168","Approved","01/14/2025","S120-281159","RiverWild Homes - Raleigh","12 Marin Woods","","patricia.johnson","3,550.96"
"","Raleigh","P120-1206153","Approved","01/14/2025","S120-281129","Stanley Martin Homes - Raleigh","51 Williams Grove","","kristina.raynor.ral","58.06"
"","Raleigh","P120-1206139","Approved","01/14/2025","S120-281036","Lennar - Raleigh","174 Annandale","","britney.pierson","1,356.63"
"","Raleigh","P120-1206081","Approved","01/14/2025","S120-280942","Chesapeake Homes - Raleigh","28 Highgate","","linda.clifton","5,088.09"
"","Raleigh","P120-1206071","Approved","01/14/2025","S120-280945","Lennar - Raleigh","184 Annandale","","britney.pierson","1,425.71"
"","Raleigh","P120-1206049","Approved","01/14/2025","S120-280939","Adams Homes - South Raleigh Division","72 Falls of the Cape","","kristina.raynor.ral","71.27"
"","Raleigh","P120-1206027","Approved","01/13/2025","S120-280917","RiverWild Homes - Raleigh","Smith's Farmhouse Lodge","","ryka.heath","3,180.31"
"","Raleigh","P120-1206025","Approved","01/13/2025","S120-280915","Adams Homes - North Raleigh Division","24 Magnolia Estates","","ryka.heath","3,011.47"
"","Raleigh","P120-1206023","Approved","01/13/2025","S120-280911","Toll Brothers - Raleigh","84 Regency @ Olde Towne","","ryka.heath","9,551.17"
"","Raleigh","P120-1206021","Approved","01/13/2025","S120-280908","Toll Brothers - Raleigh","70 Regency @ Olde Towne","","ryka.heath","8,828.37"
"","Raleigh","P120-1205994","Approved","01/13/2025","S120-280877","Mill Creek Residential - Raleigh","38 Amavi Creek TH","","kristina.raynor.ral","226.50"
"","Raleigh","P120-1205971","Order Partially Received","01/13/2025","S120-280857","Beazer Homes - Raleigh","28 Watkins Grove","","kristina.raynor.ral","44.12"
"","Raleigh","P120-1205948","Approved","01/13/2025","S120-280747","Lennar - Raleigh","664 Edge of Auburn","","britney.pierson","1,552.44"
"","Raleigh","P120-1205930","Approved","01/13/2025","S120-280798","New Home Inc. LLC - Raleigh","158 Duncan Creek","","ryka.heath","4,040.99"
"","Raleigh","P120-1205785","Approved","01/13/2025","S120-280535","New Home Inc. LLC - Raleigh","129 Duncans Creek","","ryka.heath","5,307.05"
"","Raleigh","P120-1205732","Approved","01/13/2025","S120-280503","Chesapeake Homes - Raleigh","23 Highgate","","linda.clifton","5,643.57"
"","Raleigh","P120-1205504","Approved","01/13/2025","S120-280165","Stanley Martin Homes - Raleigh","15 Williams Grove","","susan.carroll","7,957.20"
"","Raleigh","P120-1205377","Approved","01/10/2025","S120-279836","New Home Inc. LLC - Raleigh","123 Duncans Creek","","ryka.heath","4,876.34"
"","Raleigh","P120-1205357","Approved","01/10/2025","","New Home Inc. LLC - Raleigh","","","ryka.heath","4,876.34"
"","Raleigh","P120-1205356","Approved","01/10/2025","","New Home Inc. LLC - Raleigh","","","ryka.heath","4,876.34"
"","Raleigh","P120-1205351","Approved","01/10/2025","","New Home Inc. LLC - Raleigh","","","ryka.heath","4,876.34"
"","Raleigh","P120-1205314","Approved","01/10/2025","S120-279774","RiverWild Homes - Raleigh","75 Archer's Park","","kristina.raynor.ral","115.90"
"","Raleigh","P120-1205278","Approved","01/10/2025","S120-279638","RiverWild Homes - Raleigh","74 Harvest Meadows","","patricia.johnson","3,585.78"
"","Raleigh","P120-1205268","Approved","01/10/2025","S120-279690","TRI Pointe Homes - Raleigh","13 Holding Village Mews TH","","kristina.raynor.ral","417.92"
"","Raleigh","P120-1205254","Approved","01/09/2025","S120-279618","Stanley Martin Homes - Raleigh","48 Williams Grove","","susan.carroll","8,269.55"
"","Raleigh","P120-1205240","Approved","01/09/2025","S120-279582","Adams Homes - North Raleigh Division","18 Ellington Estates","","ryka.heath","3,287.75"
"","Raleigh","P120-1205200","Approved","01/09/2025","S120-279410","Lennar - Raleigh","718 Edge of Auburn","","kristina.raynor.ral","333.32"
"","Raleigh","P120-1205164","Approved","01/09/2025","S120-279432","Stanley Martin Homes - Raleigh","50 Williams  Grove","","susan.carroll","10,819.87"
"","Raleigh","P120-1205108","Approved","01/09/2025","S120-279360","Meritage - Raleigh","119 Grove @ Wendell 24s TH","","faith.hudson","3,065.36"
"","Raleigh","P120-1205093","Approved","01/09/2025","S120-279332","Meritage - Raleigh","118 Grove @ Wendell 24s TH","","faith.hudson","2,315.07"
"","Raleigh","P120-1205084","Approved","01/09/2025","S120-279313","Meritage - Raleigh","117 Grove @ Wendell 24s TH","","faith.hudson","2,394.64"
"","Raleigh","P120-1205082","Approved","01/09/2025","S120-279300","RiverWild Homes - Raleigh","139 Marin Woods","","patricia.johnson","3,111.63"
"","Raleigh","P120-1205078","Approved","01/09/2025","S120-279304","Stanley Martin Homes - Raleigh","12 Williams Grove","","susan.carroll","8,583.98"
"","Raleigh","P120-1205065","Approved","01/09/2025","S120-278230","Scott Lee Homes, Inc - Raleigh","41 Little River","","linda.clifton","5,315.57"
"","Raleigh","P120-1205063","Approved","01/09/2025","S120-279286","Meritage - Raleigh","116 Grove @ Wendell 24s TH","","faith.hudson","2,315.07"
"","Raleigh","P120-1205053","Approved","01/09/2025","S120-279262","RiverWild Homes - Raleigh","138 Marin Woods","","patricia.johnson","2,851.00"
"","Raleigh","P120-1205051","Approved","01/09/2025","S120-279173","Meritage - Raleigh","115 Grove @ Wendell 24s TH","","faith.hudson","2,083.05"
"","Raleigh","P120-1205032","Approved","01/08/2025","S120-279232","Stanley Martin Homes - Raleigh","13 Williams Grove","","susan.carroll","9,308.36"
"","Raleigh","P120-1205009","Approved","01/08/2025","S120-279161","UNIQUELY SOUTHERN HOMES LLC - Raleigh","33 Fynloch Chase","","ryka.heath","4,347.08"
"","Raleigh","P120-1205008","Approved","01/08/2025","S120-279196","Stanley Martin Homes - Raleigh","11 Williams Grove","","susan.carroll","9,878.55"
"","Raleigh","P120-1204990","Approved","01/08/2025","S120-279148","Lennar - Raleigh","66 Finley Landing","","britney.pierson","937.03"
"","Raleigh","P120-1204983","Approved","01/08/2025","S120-279149","Meritage - Raleigh","114 Grove @ Wendell 24s TH","","faith.hudson","3,087.10"
"","Raleigh","P120-1204964","Approved","01/08/2025","S120-279094","Stanley Martin Homes - Raleigh","49 Williams Grove","","susan.carroll","5,357.56"
"","Raleigh","P120-1204926","Approved","01/08/2025","S120-279029","New Home Inc. LLC - Raleigh","25 Gardner Farms","","ryka.heath","5,060.86"
"","Raleigh","P120-1204922","Approved","01/08/2025","S120-278997","Lennar - Raleigh","105 Franklin TH","","britney.pierson","728.63"
"","Raleigh","P120-1204827","Approved","01/08/2025","S120-278936","Lennar - Raleigh","106 Franklin TH","","britney.pierson","1,010.50"
"","Raleigh","P120-1204789","Approved","01/08/2025","S120-278876","Lennar - Raleigh","104 Franklin TH","","britney.pierson","843.19"
"","Raleigh","P120-1204680","Approved","01/08/2025","S120-278815","Lennar - Raleigh","103 Franklin TH","","britney.pierson","1,273.01"
"","Raleigh","P120-1204654","Approved","01/08/2025","S120-278768","New Home Inc. LLC - Raleigh","10 Hearon Pointe","","ryka.heath","5,497.23"
"","Raleigh","P120-1204630","Approved","01/08/2025","S120-242690","KB Home - Raleigh","3 Stanat Place TH","","faith.hudson","55.89"
"","Raleigh","P120-1204625","Approved","01/08/2025","S120-265422","KB Home - Raleigh","24 Stanat Place TH","","faith.hudson","55.89"
"","Raleigh","P120-1204615","Approved","01/08/2025","S120-265341","KB Home - Raleigh","22 Stanat Place TH","","faith.hudson","55.89"
"","Raleigh","P120-1204613","Approved","01/08/2025","S120-258575","KB Home - Raleigh","17 Stanat Place TH","","faith.hudson","55.89"
"","Raleigh","P120-1204606","Approved","01/08/2025","S120-253966","KB Home - Raleigh","12 Stanat Place TH","","faith.hudson","55.89"
"","Raleigh","P120-1204593","Approved","01/08/2025","S120-278719","Adams Homes - South Raleigh Division","83 Southern Estates","","kristina.raynor.ral","33.58"
"","Raleigh","P120-1204560","Approved","01/07/2025","S120-278631","Stanley Martin Homes - Raleigh","11 Williams Grove","","susan.carroll","9,878.55"
"","Raleigh","P120-1204513","Approved","01/07/2025","S120-278506","DAVID WEEKLEY HOMES - RALEIGH","1571 Encore @ Wendell Falls","","linda.clifton","6,881.03"
"","Raleigh","P120-1204506","Approved","01/07/2025","S120-278525","KB Home - Raleigh","30 Stanat Place TH","","faith.hudson","55.89"
"","Raleigh","P120-1204481","Approved","01/07/2025","S120-278476","KB Home - Raleigh","28 Stanat Place TH","","faith.hudson","55.89"
"","Raleigh","P120-1204447","Approved","01/07/2025","S120-278325","KB Home - Raleigh","26 Stanat Place TH","","faith.hudson","128.72"
"","Raleigh","P120-1204422","Approved","01/07/2025","S120-278303","Adams Homes - South Raleigh Division","49 Southern Estates","","ryka.heath","4,344.85"
"","Raleigh","P120-1204395","Approved","01/07/2025","S120-278228","KB Home - Raleigh","31 Stanat Place TH","","faith.hudson","128.72"
"","Raleigh","P120-1204361","Order Partially Received","01/07/2025","S120-278233","Adams Homes - North Raleigh Division","177 Williams Grove","","ryka.heath","49.66"
"","Raleigh","P120-1204284","Approved","01/06/2025","S120-278129","Mungo Homes - Raleigh","25 Olivet","","faith.hudson","275.74"
"","Raleigh","P120-1204260","Approved","01/06/2025","S120-278057","Adams Homes - South Raleigh Division","48 Southern Estates","","ryka.heath","4,134.21"
"","Raleigh","P120-1204233","Approved","01/06/2025","S120-277955","RiverWild Homes - Raleigh","127 Ashcroft","","patricia.johnson","3,528.62"
"","Raleigh","P120-1204090","Approved","01/06/2025","S120-277780","Scott Lee Homes, Inc - Raleigh","43 Little River","","linda.clifton","4,422.87"
"","Raleigh","P120-1204067","Approved","01/06/2025","S120-277742","RiverWild Homes - Raleigh","70 Archer's Park","","patricia.johnson","3,535.68"
"","Raleigh","P120-1204055","Approved","01/06/2025","S120-277771","Adams Homes - South Raleigh Division","1 Southern Estates","","ryka.heath","3,350.39"
"","Raleigh","P120-1204047","Approved","01/06/2025","S120-277756","Lennar - Raleigh","107 Franklin TH","","britney.pierson","1,431.19"
"","Raleigh","P120-1203987","Approved","01/06/2025","S120-277658","Adams Homes - North Raleigh Division","201 Williams Grove","","ryka.heath","3,615.97"
"","Raleigh","P120-1203939","Approved","01/06/2025","S120-277502","RiverWild Homes - Raleigh","71 Archer's Park","","patricia.johnson","3,059.30"
"","Raleigh","P120-1203859","Approved","01/06/2025","S120-277528","Adams Homes - North Raleigh Division","199 Williams Grove","","ryka.heath","3,224.73"
"","Raleigh","P120-1203698","Approved","01/03/2025","S120-277341","Adams Homes - North Raleigh Division","213 Williams Grove","","ryka.heath","3,282.31"
"","Raleigh","P120-1203695","Approved","01/03/2025","S120-277326","Mungo Homes - Raleigh","23 Olivet","","faith.hudson","229.45"
"","Raleigh","P120-1203667","Approved","01/03/2025","S120-277266","Adams Homes - North Raleigh Division","205 Williams Grove","","ryka.heath","4,367.63"
"","Raleigh","P120-1203624","Approved","01/03/2025","S120-277163","Adams Homes - North Raleigh Division","202 Williams Grove","","ryka.heath","4,371.40"
"","Raleigh","P120-1203617","Order Partially Received","01/03/2025","S120-277190","Lennar - Raleigh","179 Annandale","","kristina.raynor.ral","52.68"
"","Raleigh","P120-1203526","Approved","01/02/2025","S120-277014","Adams Homes - North Raleigh Division","200 Williams Grove","","ryka.heath","3,775.72"
"","Raleigh","P120-1203495","Approved","01/02/2025","S120-276895","Adams Homes - North Raleigh Division","178 Williams Grove","","ryka.heath","3,354.43"
"","Raleigh","P120-1203493","Approved","01/02/2025","S120-276869","Meritage - Raleigh","88 Grove at Wendell TH","","susan.carroll","3,424.36"
"","Raleigh","P120-1203481","Approved","01/02/2025","S120-276784","HMT Construction LLC - Raleigh","10 Almeta Run","","patricia.johnson","3,446.54"
"","Raleigh","P120-1203462","Approved","01/02/2025","S120-275927","KB Home - Raleigh","1 Olive Grove SF","","faith.hudson","60.36"
"","Raleigh","P120-1203405","Approved","01/02/2025","S120-276645","Meritage - Raleigh","87 Grove at Wendell TH","","susan.carroll","2,375.35"
"","Raleigh","P120-1203309","Approved","12/30/2024","S120-276538","Scott Lee Homes, Inc - Raleigh","39 Little River","","faith.hudson","4,318.93"
"","Raleigh","P120-1203308","Approved","12/30/2024","S120-276514","Scott Lee Homes, Inc - Raleigh","38 Little River","","faith.hudson","4,377.26"
"","Raleigh","P120-1203303","Approved","12/30/2024","S120-276509","Meritage - Raleigh","86 Grove at Wendell","","susan.carroll","3,583.45"
"","Raleigh","P120-1203300","Approved","12/30/2024","S120-276484","Lennar - Raleigh","663 Edge of Auburn","","britney.pierson","1,653.78"
"","Raleigh","P120-1203280","Approved","12/30/2024","S120-276432","Lennar - Raleigh","662 Edge of Auburn","","britney.pierson","1,759.45"
"","Raleigh","P120-1203250","Approved","12/30/2024","S120-276399","Meritage - Raleigh","85 Grove at Wendell","","susan.carroll","2,371.14"
"","Raleigh","P120-1203245","Order Partially Received","12/30/2024","S120-276424","Cumberland Homes (TMD Res.) - Raleigh","3 Hoss Ridge","","kristina.raynor.ral","60.72"
"","Raleigh","P120-1203244","Approved","12/30/2024","S120-276401","Lennar - Raleigh","661 Edge of Auburn","","britney.pierson","1,484.58"
"","Raleigh","P120-1203221","Approved","12/30/2024","S120-276373","Toll Brothers - Raleigh","164 Auburn Station","","ryka.heath","8,740.30"
"","Raleigh","P120-1203214","Approved","12/30/2024","S120-276325","Lennar - Raleigh","4 Finley Landing","","britney.pierson","946.83"
"","Raleigh","P120-1203209","Approved","12/30/2024","S120-276326","Meritage - Raleigh","84 Grove At Wendell TH","","susan.carroll","2,565.34"
"","Raleigh","P120-1203200","Order Partially Received","12/30/2024","S120-276342","Lennar - Raleigh","250 Finley Landing TH","","kristina.raynor.ral","161.92"
"","Raleigh","P120-1203174","Approved","12/30/2024","S120-276276","Lennar - Raleigh","26 Franklin TH","","britney.pierson","1,352.23"
"","Raleigh","P120-1203147","Approved","12/27/2024","S120-276131","Meritage - Raleigh","83 Grove at Wendell","","susan.carroll","3,161.08"
"","Raleigh","P120-1203128","Order Partially Received","12/27/2024","S120-276183","Drees Homes - Raleigh","229H Meadows @ Jones Dairy TH","","kristina.raynor.ral","298.40"
"","Raleigh","P120-1203126","Order Partially Received","12/27/2024","S120-276180","Drees Homes - Raleigh","229F Meadows @ Jones Dairy TH","","kristina.raynor.ral","264.80"
"","Raleigh","P120-1203124","Order Partially Received","12/27/2024","S120-276178","Drees Homes - Raleigh","229E Meadows @ Jones Dairy TH","","kristina.raynor.ral","447.60"
"","Raleigh","P120-1203121","Order Partially Received","12/27/2024","S120-276174","Drees Homes - Raleigh","229D Meadows @ Jones Dairy TH","","kristina.raynor.ral","264.80"
"","Raleigh","P120-1203120","Order Partially Received","12/27/2024","S120-276170","Drees Homes - Raleigh","229C Meadows @ Jones Dairy TH","","kristina.raynor.ral","397.20"
"","Raleigh","P120-1203118","Order Partially Received","12/27/2024","S120-276166","Drees Homes - Raleigh","229B Meadows @ Jones Dairy TH","","kristina.raynor.ral","132.40"
"","Raleigh","P120-1203117","Approved","12/27/2024","S120-276158","Adams Homes - South Raleigh Division","2 Southern Estates","","ryka.heath","2,754.94"
"","Raleigh","P120-1203116","Order Partially Received","12/27/2024","S120-276162","Drees Homes - Raleigh","229A Meadows @ Jones Dairy TH","","kristina.raynor.ral","298.40"
"","Raleigh","P120-1203064","Approved","12/26/2024","S120-276087","TRI Pointe Homes - Raleigh","66 Holding Village Mews","","faith.hudson","382.26"
"","Raleigh","P120-1203063","Approved","12/26/2024","S120-276086","TRI Pointe Homes - Raleigh","66 Holding Village Mews","","faith.hudson","9,640.88"
"","Raleigh","P120-1203062","Approved","12/26/2024","S120-276085","TRI Pointe Homes - Raleigh","65 Holding Village Mews","","faith.hudson","323.46"
"","Raleigh","P120-1203061","Approved","12/26/2024","S120-276084","TRI Pointe Homes - Raleigh","65 Holding Village Mews","","faith.hudson","5,156.30"
"","Raleigh","P120-1203060","Approved","12/26/2024","S120-276083","TRI Pointe Homes - Raleigh","64 Holding Village Mews","","faith.hudson","323.46"
"","Raleigh","P120-1203059","Approved","12/26/2024","S120-276082","TRI Pointe Homes - Raleigh","64 Holding Village Mews","","faith.hudson","5,658.52"
"","Raleigh","P120-1203058","Approved","12/26/2024","S120-276079","TRI Pointe Homes - Raleigh","63 Holding Village Mews","","faith.hudson","323.46"
"","Raleigh","P120-1203057","Approved","12/26/2024","S120-276077","TRI Pointe Homes - Raleigh","63 Holding Village Mews","","faith.hudson","5,089.66"
"","Raleigh","P120-1203053","Approved","12/26/2024","S120-276075","TRI Pointe Homes - Raleigh","62 Holding Village Mews","","faith.hudson","289.86"
"","Raleigh","P120-1203052","Approved","12/26/2024","S120-276074","TRI Pointe Homes - Raleigh","62 Holding Village Mews","","faith.hudson","5,123.35"
"","Raleigh","P120-1203049","Approved","12/26/2024","S120-276069","TRI Pointe Homes - Raleigh","61 Holding Village Mews TH","","faith.hudson","399.06"
"","Raleigh","P120-1203046","Approved","12/26/2024","S120-276059","TRI Pointe Homes - Raleigh","61 Holding Village Mews TH","","faith.hudson","9,898.45"
"","Raleigh","P120-1203022","Approved","12/26/2024","S120-276005","Adams Homes - South Raleigh Division","110 Annandale","","ryka.heath","366.88"
"","Raleigh","P120-1203018","Approved","12/26/2024","S120-275994","Adams Homes - South Raleigh Division","110 Annandale","","ryka.heath","1,346.02"
"","Raleigh","P120-1202937","Order Partially Received","12/26/2024","S120-275881","Vanir Installed Sales Raleigh - House Account","Antonios Truck","","kristina.raynor.ral","25.23"
"","Raleigh","P120-1202906","Approved","12/26/2024","S120-275779","Stanley Martin Homes - Raleigh","51 Williams Grove","","susan.carroll","9,499.76"
"","Raleigh","P120-1202892","Approved","12/26/2024","S120-275796","New Home Inc. LLC - Raleigh","40 Gardner Farms","","ryka.heath","4,842.27"
"","Raleigh","P120-1202803","Approved","12/23/2024","S120-275310","Toll Brothers - Raleigh","16 Auburn Station","","ryka.heath","7,497.41"
"","Raleigh","P120-1202669","Approved","12/23/2024","S120-275007","Lennar - Raleigh","158 Annandale","","britney.pierson","1,117.42"
"","Raleigh","P120-1202456","Approved","12/23/2024","S120-274897","Mungo Homes - Raleigh","41 Maison Ridge","","kristina.raynor.ral","198.76"
"","Raleigh","P120-1202421","Approved","12/23/2024","S120-274654","Lennar - Raleigh","172 Annandale","","britney.pierson","1,555.19"
"","Raleigh","P120-1202319","Order Partially Received","12/23/2024","S120-274656","Stanley Martin Homes - Raleigh","52 Falls Village","","yamileth.vargas","135.96"
"","Raleigh","P120-1202266","Order Partially Received","12/23/2024","S120-274623","Vanir Installed Sales Raleigh - House Account","Antonios Truck","","kristina.raynor.ral","33.64"
"","Raleigh","P120-1202252","Approved","12/23/2024","S120-274601","JSJ Builders Inc. - Raleigh","29 Collier Gate","","faith.hudson","158.60"
"","Raleigh","P120-1202153","Approved","12/20/2024","S120-274311","Beazer Homes - Raleigh","29 Watkins Grove","","susan.carroll","4,892.67"
"","Raleigh","P120-1202082","Order Partially Received","12/20/2024","S120-274032","Beazer Homes - Raleigh","4 Watkins Grove","","susan.carroll","7,909.88"
"","Raleigh","P120-1201862","Approved","12/19/2024","S120-273583","Adams Homes - South Raleigh Division","43 Kipling Creek","","ryka.heath","3,976.99"
