"03-10-2025","Sales Report by Location","","Raleigh,Charleston,Charlotte,Wilmington,Greensboro,Myrtle Beach,Columbia,Greenville,Savannah,Atlanta,Richmond","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Location","MTD Net Sales","MTD Net Labor","MTD Net GP%","LYMTD Net Sales","LYMTD Net Labor","LYMTD Net GP%","Sales(Inc-Des)","YTD Net Sales","YTD Net Labor","YTD Net GP%","LYTD Net Sales","LYTD Net Labor","LYTD Net GP%","Sales(Inc-Des)"
"Charleston","3470.00","0.00","-1700.23","84790.67","0.00","-249.3500","-81320.67","1550746.01","0.00","-23.95","1534972.10","0.00","32.61","15773.91"
"Charlotte","122438.02","0.00","11.06","132761.32","0.00","9.5500","-10323.3","4772192.45","0.00","21.78","3638513.72","0.00","15.6","1133678.73"
"Columbia","44400.52","0.00","32.35","206869.42","0.00","43.3900","-162468.9","1088209.26","0.00","18.56","1860462.88","0.00","42.51","-772253.62"
"Greensboro","75961.00","0.00","-5.71","55891.02","0.00","21.6700","20069.98","843290.98","0.00","8.16","1667143.08","0.00","17.72","-823852.1"
"Greenville","199769.26","0.00","17.45","64572.06","0.00","14.5400","135197.2","1403453.80","0.00","16.61","1223533.49","0.00","22.71","179920.31"
"Myrtle Beach","448619.81","0.00","24.23","517286.78","0.00","15.8700","-68666.97","3267275.19","0.00","26","2589516.29","0.00","18.61","677758.9"
"Raleigh","344760.52","0.00","-22.64","290479.98","0.00","2.2900","54280.54","6871785.36","0.00","23.37","8793234.88","0.00","13.84","-1921449.52"
"Wilmington","215775.83","0.00","-2.02","120988.58","0.00","0.1400","94787.25","1739801.88","0.00","9.67","2018806.40","0.00","44.15","-279004.52"
"Total","1455194.96","0","1.7686","1473639.83","0","0.0984","-18444.87","21536754.93","0","17.6266","23326182.84","0","21.5318","-1789427.91"
