"05-01-2025","Sales Comparison by Master Account","","Raleigh,Charleston,Charlotte,Wilmington,Greensboro,Myrtle Beach,Columbia,Greenville,Savannah,Atlanta,Richmond","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Customer Name","Account #","NET MTD Sales","NET MTD Labor","NET GP%","NET MTDLY","NET MTDLY Labor","NET GP%","Comparison MTD-to-LYMTD","NET YTD","NET YTD Labor","NET GP%","NET LYTD","NET LYTD Labor","NET GP%","NET Comparison YTD-to-LYTD"
"Cade, Inc - Greensboro","A2136","0.00","0.00","0","0.00","0.00","0","0","48567.00","0.00","42.71","0.00","0.00","0","48567"
"Cade, Inc - Raleigh","47","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","74596.33","0.00","47.66","-74596.33"
"Cape Fear Construction Group LLC- Wilmington","A1919","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","448774.85","0.00","91.91","-448774.85"
"Caruso Homes, Inc. - Raleigh","A2120","0.00","0.00","0","0.00","0.00","0","0","76494.06","0.00","20.71","0.00","0.00","0","76494.06"
"Celtic Works - Columbia","A2090","0.00","0.00","0","0.00","0.00","0","0","100.00","0.00","-15","0.00","0.00","0","100"
"Center Park Homes - Charlotte","A1885","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","250534.04","0.00","11.08","-250534.04"
"Century Complete - Greensboro","A1873","0.00","0.00","0","15370.99","0.00","5.23","-15370.99","394652.35","0.00","21.25","698908.16","0.00","19.69","-304255.81"
"Chesapeake Homes - Myrtle Beach","A1828","0.00","0.00","0","80076.30","0.00","9.52","-80076.3","1486854.60","0.00","18.95","1459377.33","0.00","16.57","27477.27"
"Chesapeake Homes - Raleigh","A1660","0.00","0.00","0","0.00","0.00","0","0","97441.76","0.00","24.4","121171.72","0.00","20.32","-23729.96"
"Chesapeake Homes - Wilmington","A1827","0.00","0.00","0","0.00","0.00","0","0","85443.53","0.00","24.49","145442.93","0.00","34.3","-59999.4"
"Chris Massengill - Raleigh","A1761","0.00","0.00","0","0.00","0.00","0","0","975.00","0.00","7.18","0.00","0.00","0","975"
"Clancy & Theys Construction Company - Charlotte","A2009","0.00","0.00","0","0.00","0.00","0","0","92247.53","0.00","-143.99","85131.82","0.00","26.95","7115.71"
