"05-16-2025","Sales Report by Location","","Raleigh,Charleston,Charlotte,Wilmington,Greensboro,Myrtle Beach,Columbia,Greenville,Savannah,Atlanta,Richmond","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Location","MTD Net Sales","MTD Net Labor","MTD Net GP%","LYMTD Net Sales","LYMTD Net Labor","LYMTD Net GP%","Sales(Inc-Des)","YTD Net Sales","YTD Net Labor","YTD Net GP%","LYTD Net Sales","LYTD Net Labor","LYTD Net GP%","Sales(Inc-Des)"
"Charleston","84279.09","0.00","-318.37","207216.33","0.00","-182.5900","-122937.24","3780026.51","0.00","-7.95","3340692.62","0.00","-8.23","439333.89"
"Charlotte","567094.88","0.00","22.58","456342.30","0.00","15.3400","110752.58","9489125.93","0.00","18.48","8418479.94","0.00","20.26","1070645.99"
"Columbia","201996.17","0.00","9.5","270297.31","0.00","13.2100","-68301.14","2693687.80","0.00","20.34","3253859.83","0.00","26.46","-560172.03"
"Greensboro","144422.16","0.00","-13.5","356640.34","0.00","-6.3600","-212218.18","2287780.74","0.00","13.85","3027890.54","0.00","12.4","-740109.8"
"Greenville","458453.20","0.00","19.5","243204.05","0.00","22.1200","215249.15","3777956.95","0.00","25.59","2441945.18","0.00","21.96","1336011.77"
"Myrtle Beach","923229.05","0.00","22.34","963417.86","0.00","9.5400","-40188.81","6996194.02","0.00","23.98","5826046.26","0.00","18.6","1170147.76"
"Raleigh","1168169.77","0.00","-35.2","1951761.00","0.00","25.1100","-783591.23","16564518.60","0.00","14.43","19167527.38","0.00","14.45","-2603008.78"
"Wilmington","516245.62","0.00","2.9","108730.98","0.00","24.0200","407514.64","4369948.09","0.00","16.06","3112916.43","0.00","6.02","1257031.66"
"Total","4063889.94","0","-5.9315","4557610.17","0","8.0423","-493720.23","49959238.64","0","16.1212","48589358.18","0","14.9095","1369880.46"
