"11-07-2024","Sales Register Summary Report","From:01-01-2024 To 12-31-2024 (mm-dd-yyyy)","Raleigh,Charleston,Charlotte,Wilmington,Greensboro,Myrtle Beach,Columbia,Greenville","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Date","#INV","Master Account Name","Job Name","Address","City","Order Taker","Merchandise sales w/o tax","Sales Tax","MISC Charge","Delivery Charge","Grand Total","Total Cost","GP$","GP%"
"05-09-2024","S120-90804","Lennar - Raleigh","46 WESTHIGH GLEN","1533 CHAMPLAIN CREST WAY","CARY","diana.smith","$9,500.01","$0.00","$0.00","$0.00","$9,500.00","$237.62","$9,262.39","97.50%"
"05-09-2024","S120-90800","Lennar - Raleigh","46 WESTHIGH GLEN","1533 CHAMPLAIN CREST WAY","CARY","diana.smith","$8,500.00","$0.00","$0.00","$0.00","$8,500.00","$300.00","$8,200.00","96.47%"
"05-08-2024","S120-90794-1","Adams Homes - South Raleigh Division","41/42 JOHNSON PLACE","204 LAKESHORE DRIVE","BENSON","jason.smith","$188.68","$0.00","$0.00","$0.00","$188.68","$7.00","$181.68","96.29%"
"05-08-2024","S120-90794","Adams Homes - South Raleigh Division","41/42 JOHNSON PLACE","204 LAKESHORE DRIVE","BENSON","jason.smith","$311.32","$0.00","$0.00","$0.00","$311.32","$23.62","$287.70","92.41%"
"05-08-2024","S120-90787-1","A.B. Goodrich - Raleigh","3050 Lufkin RD","3050 Lufkin Road","Apex","jason.smith","$500.00","$0.00","$0.00","$0.00","$500.00","$0.00","$500.00","100.00%"
"05-08-2024","S120-90787","A.B. Goodrich - Raleigh","3050 Lufkin RD","3050 Lufkin Road","Apex","jason.smith","$500.00","$0.00","$0.00","$0.00","$500.00","$41.15","$458.85","91.77%"
"05-08-2024","S120-90779-1","A.B. Goodrich - Raleigh","3050 Lufkin RD","3050 Lufkin Road","Apex","jason.smith","$200.00","$0.00","$0.00","$0.00","$200.00","$0.00","$200.00","100.00%"
"05-08-2024","S120-90779","A.B. Goodrich - Raleigh","3050 Lufkin RD","3050 Lufkin Road","Apex","jason.smith","$500.00","$0.00","$0.00","$0.00","$500.00","$41.15","$458.85","91.77%"
"05-08-2024","S120-90771-1","Adams Homes - South Raleigh Division","9 FALLS OF THE CAPE","144 PARKSIDE DRIVE","LILLINGTON","jason.smith","$500.00","$0.00","$0.00","$0.00","$500.00","$17.50","$482.50","96.50%"
"05-08-2024","S120-90771","Adams Homes - South Raleigh Division","9 FALLS OF THE CAPE","144 PARKSIDE DRIVE","LILLINGTON","jason.smith","$500.00","$0.00","$0.00","$0.00","$500.00","$30.40","$469.60","93.92%"
"05-08-2024","S120-90767","Adams Homes - South Raleigh Division","9 FALLS OF THE CAPE","144 PARKSIDE DRIVE","LILLINGTON","jason.smith","$500.00","$0.00","$0.00","$0.00","$500.00","$30.40","$469.60","93.92%"
"05-07-2024","S124-90729","Lennar - Charlotte","108 Sullivan Farm","6701 Carmel Road","Charlotte","hunter.crocker","$999,999.89","$0.00","$0.00","$0.00","$999,999.89","$8,975.58","$991,024.31","99.10%"
"05-07-2024","S120-90761","Adams Homes - South Raleigh Division","9 FALLS OF THE CAPE","144 PARKSIDE DRIVE","LILLINGTON","jason.smith","$500.00","$0.00","$0.00","$0.00","$500.00","$137.89","$362.11","72.42%"
"05-07-2024","S120-90757","Adams Homes - South Raleigh Division","9 FALLS OF THE CAPE","144 PARKSIDE DRIVE","LILLINGTON","jason.smith","$500.00","$0.00","$0.00","$0.00","$500.00","$151.45","$348.55","69.71%"
"05-07-2024","S120-90751-1","Adams Homes - South Raleigh Division","9 FALLS OF THE CAPE","144 PARKSIDE DRIVE","LILLINGTON","jason.smith","$0.00","$0.00","$0.00","$0.00","$0.00","$150.00","$-150.00","0.00%"
"05-07-2024","S120-90751","Adams Homes - South Raleigh Division","9 FALLS OF THE CAPE","144 PARKSIDE DRIVE","LILLINGTON","jason.smith","$500.00","$0.00","$0.00","$0.00","$500.00","$33.90","$466.10","93.22%"
"02-26-2024","S120-90695","Adams Homes - North Raleigh Division","182 Sutton Acres","248 Pleasant Lane","Smithfield","jason.smith","$0.00","$0.00","$0.00","$0.00","$0.00","$-100.00","$100.00","0.00%"
"02-26-2024","S120-90688","Adams Homes - North Raleigh Division","182 Sutton Acres","248 Pleasant Lane","Smithfield","jason.smith","$0.00","$0.00","$0.00","$0.00","$0.00","$100.00","$-100.00","0.00%"
"02-26-2024","S120-90684","Adams Homes - North Raleigh Division","182 Sutton Acres","248 Pleasant Lane","Smithfield","jason.smith","$50.00","$0.00","$0.00","$0.00","$50.00","$25.00","$25.00","50.00%"
"02-06-2024","S129-90627","Lennar - Charleston","16 Cypress Preserve","135 Cypress Preserve Blvd","Moncks Corner","jordan.adams","$10,000.00","$0.00","$0.00","$0.00","$10,000.00","$0.00","$10,000.00","100.00%"
"02-06-2024","S120-90624","Pulte Home Company, LLC  - Raleigh","49 REGENCY @ HERITAGE","1600 HOPE PASSAGE COURT","WAKE FOREST","diana.smith","$10,000.00","$0.00","$0.00","$0.00","$10,000.00","$0.00","$10,000.00","100.00%"
"01-29-2024","S120-90594","Adams Homes - South Raleigh Division","Test012924","","","jason.smith","$7,000.00","$0.00","$0.00","$0.00","$7,000.00","$1,000.00","$6,000.00","85.71%"
"01-18-2024","S120-90502","A.B. Goodrich - Raleigh","Dinis Storage","","","diana.smith","$0.00","$0.00","$0.00","$0.00","$0.00","$-193.50","$193.50","0.00%"
"01-17-2024","S120-90496","Adams Homes - South Raleigh Division","011724","","","jason.smith","$10,000.00","$0.00","$0.00","$0.00","$10,000.00","$420.80","$9,579.20","95.79%"
"01-15-2024","S120-90373","KB Home - Raleigh","265 OLIVE GROVE","6457 LOCK STREET","SELMA","jason.smith","$0.00","$0.00","$0.00","$0.00","$0.00","$-150.00","$150.00","0.00%"
"01-12-2024","S120-90360","Adams Homes - South Raleigh Division","TESTJOBLIST","","","jason.smith","$0.00","$0.00","$0.00","$0.00","$0.00","$-50.00","$50.00","0.00%"
"01-12-2024","S120-90356","Adams Homes - South Raleigh Division","TESTJOBLIST","","","jason.smith","$0.00","$0.00","$0.00","$0.00","$0.00","$1,000.00","$-1,000.00","0.00%"
"01-08-2024","S120-90259","Adams Homes - South Raleigh Division","TESTJOBLIST","","","jason.smith","$500.00","$0.00","$0.00","$0.00","$500.00","$269.00","$231.00","46.20%"
"","","","","","","Total","$1,327,264.91","$0.00","$0.00","$0.00","$1,327,264.89","$118,328.52","$1,208,936.39","91.08%"
