"04-04-2025","Sales Report by Location","","Raleigh,Charleston,Charlotte,Wilmington,Greensboro,Myrtle Beach,Columbia,Greenville,Savannah,Atlanta,Richmond","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Location","MTD Net Sales","MTD Net Labor","MTD Net GP%","LYMTD Net Sales","LYMTD Net Labor","LYMTD Net GP%","Sales(Inc-Des)","YTD Net Sales","YTD Net Labor","YTD Net GP%","LYTD Net Sales","LYTD Net Labor","LYTD Net GP%","Sales(Inc-Des)"
"Charleston","-2200.00","0.00","3511.61","425.00","0.00","-37948.6600","-2625","2721117.67","0.00","-8.66","2196588.74","0.00","2.27","524528.93"
"Charlotte","190480.33","0.00","16.5","48079.79","0.00","-17.8000","142400.54","6661438.53","0.00","20.18","5963692.82","0.00","18.65","697745.71"
"Columbia","94631.78","0.00","19.74","126855.96","0.00","11.1000","-32224.18","1747330.83","0.00","19.58","2464664.29","0.00","36.99","-717333.46"
"Greensboro","51500.33","0.00","-3.85","49393.00","0.00","-54.2400","2107.33","1353639.89","0.00","13.89","2263707.18","0.00","16.69","-910067.29"
"Greenville","0.00","0.00","0","10444.00","0.00","-497.1700","-10444","2493365.81","0.00","25.29","1685349.57","0.00","22.14","808016.24"
"Myrtle Beach","97670.08","0.00","23.13","293126.40","0.00","17.8600","-195456.32","4409089.62","0.00","24.6","3643962.53","0.00","19.5","765127.09"
"Raleigh","143391.63","0.00","27.84","499182.31","0.00","2.6400","-355790.68","10731887.86","0.00","23.9","13516715.10","0.00","11.93","-2784827.24"
"Wilmington","6254.08","0.00","-513.33","36975.96","0.00","13.0200","-30721.88","2413837.81","0.00","19.26","2759980.61","0.00","4.85","-346142.8"
"Total","581728.23","0","0.2186","1064482.42","0","-15.4156","-482754.19","32531708.02","0","19.6256","34494660.84","0","15.3122","-1962952.82"
