"05-15-2025","Sales Comparison by Master Account","","Raleigh,Charleston,Charlotte,Wilmington,Greensboro,Myrtle Beach,Columbia,Greenville,Savannah,Atlanta,Richmond","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Customer Name","Account #","NET MTD Sales","NET MTD Labor","NET GP%","NET MTDLY","NET MTDLY Labor","NET GP%","Comparison MTD-to-LYMTD","NET YTD","NET YTD Labor","NET GP%","NET LYTD","NET LYTD Labor","NET GP%","NET Comparison YTD-to-LYTD"
"A.B. Goodrich - Raleigh","A1650","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
"A.C. Lee Construction - Raleigh","2452","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
"AL Adams Construction Co. - Columbia","A2132","0.00","0.00","0","0.00","0.00","0","0","37447.00","0.00","100","0.00","0.00","0","37447"
"Adams Homes - Charlotte","A1545","0.00","0.00","0","-195.00","0.00","100","195","0.00","0.00","0","-195.00","0.00","179.97","195"
"Adams Homes - North Raleigh Division","A1640","31021.01","0.00","14.6","-963.98","0.00","165.17","31984.99","321195.68","0.00","16.69","143722.37","0.00","19.29","177473.31"
"Adams Homes - South Raleigh Division","21","42713.02","0.00","23.52","30451.00","0.00","23.65","12262.02","524659.06","0.00","16.14","510361.13","0.00","18.41","14297.93"
"Adams Homes - Wilmington","A2071","43084.00","0.00","27.86","0.00","0.00","0","43084","353393.09","0.00","20.3","0.00","0.00","0","353393.09"
"Adams Homes Winterville Division - Raleigh","A1744","30450.97","0.00","10.28","0.00","0.00","0","30450.97","239776.87","0.00","17.11","0.00","0.00","0","239776.87"
"Adamski Construction Services - Raleigh","A1961","0.00","0.00","0","0.00","0.00","0","0","7288.00","0.00","19.89","0.00","0.00","0","7288"
"Addison Homes - Greenville","A1785","196.14","0.00","21.38","16523.01","0.00","28.35","-16326.87","16896.14","0.00","22.26","32099.00","0.00","22.41","-15202.86"
"Alan Simonini Homes, LLC - Charlotte","A1568","21921.97","0.00","50.41","0.00","0.00","0","21921.97","135042.66","0.00","36.49","68000.00","0.00","-4.85","67042.66"
"Allen Grading Company Inc - Raleigh","A2161","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
"Alliance Multifamily Builders - Charlotte","A1965","0.00","0.00","0","0.00","0.00","0","0","833134.05","0.00","12.37","640673.24","0.00","26.74","192460.81"
