"03-14-2025","Sales Report by Location","","Raleigh,Charleston,Charlotte,Wilmington,Greensboro,Myrtle Beach,Columbia,Greenville,Savannah,Atlanta,Richmond","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Location","MTD Net Sales","MTD Net Labor","MTD Net GP%","LYMTD Net Sales","LYMTD Net Labor","LYMTD Net GP%","Sales(Inc-Des)","YTD Net Sales","YTD Net Labor","YTD Net GP%","LYTD Net Sales","LYTD Net Labor","LYTD Net GP%","Sales(Inc-Des)"
"Charleston","27305.73","0.00","-1214.74","279654.21","0.00","-68.6900","-252348.48","1574581.74","0.00","-40.91","1729835.64","0.00","30.06","-155253.9"
"Charlotte","269115.44","0.00","7.92","304392.44","0.00","13.5000","-35277","4918869.87","0.00","21.29","3810144.84","0.00","15.64","1108725.03"
"Columbia","225718.19","0.00","27.27","272248.30","0.00","32.3300","-46530.11","1269526.93","0.00","19.63","1925841.76","0.00","40.97","-656314.83"
"Greensboro","108907.49","0.00","1.4","170209.92","0.00","49.6400","-61302.43","876237.48","0.00","8.52","1781461.99","0.00","20.65","-905224.51"
"Greenville","342455.64","0.00","19","140584.00","0.00","18.9900","201871.64","1546140.18","0.00","17.03","1299545.43","0.00","22.72","246594.75"
"Myrtle Beach","649368.80","0.00","25.46","697302.71","0.00","20.9300","-47933.91","3468024.19","0.00","26.13","2769532.22","0.00","19.71","698491.97"
"Raleigh","696976.18","0.00","-6.93","1404462.64","0.00","-9.5200","-707486.46","7224001.01","0.00","22.65","9907217.55","0.00","10.86","-2683216.54"
"Wilmington","316391.50","0.00","10.5","196902.27","0.00","-421.9400","119489.23","1840417.56","0.00","11.19","2094720.09","0.00","2.88","-254302.53"
"Total","2636238.97","0","-1.2111","3465756.49","0","-22.2299","-829517.52","22717798.96","0","16.4558","25318299.52","0","16.7889","-2600500.56"
