"04-08-2025","Sales Report by Location","","Raleigh,Charleston,Charlotte,Wilmington,Greensboro,Myrtle Beach,Columbia,Greenville,Savannah,Atlanta,Richmond","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Location","MTD Net Sales","MTD Net Labor","MTD Net GP%","LYMTD Net Sales","LYMTD Net Labor","LYMTD Net GP%","Sales(Inc-Des)","YTD Net Sales","YTD Net Labor","YTD Net GP%","LYTD Net Sales","LYTD Net Labor","LYTD Net GP%","Sales(Inc-Des)"
"Charleston","-2200.00","0.00","5000.24","305298.12","0.00","11.6500","-307498.12","2721117.67","0.00","-9.86","2501461.87","0.00","9.86","219655.8"
"Charlotte","403688.30","0.00","12.75","229204.78","0.00","16.7300","174483.52","6874646.51","0.00","19.85","6144817.81","0.00","18.86","729828.7"
"Columbia","206268.31","0.00","15.13","127230.96","0.00","13.9600","79037.35","1858967.35","0.00","19.08","2465039.29","0.00","37.13","-606071.94"
"Greensboro","52029.33","0.00","-13.53","48918.00","0.00","-65.0800","3111.33","1354168.89","0.00","13.52","2263232.18","0.00","16.47","-909063.29"
"Greenville","1585.00","0.00","12.53","48047.00","0.00","-109.9400","-46462","2494950.81","0.00","25.29","1722952.56","0.00","21.6","771998.25"
"Myrtle Beach","98295.08","0.00","24.96","398233.41","0.00","13.6500","-299938.33","4409714.62","0.00","24.64","3749069.53","0.00","19","660645.09"
"Raleigh","292637.54","0.00","23.19","643279.18","0.00","3.1500","-350641.64","10881133.77","0.00","23.83","13660811.97","0.00","11.86","-2779678.2"
"Wilmington","7311.98","0.00","-1811.47","77086.15","0.00","-61.7700","-69774.17","2414895.71","0.00","15.09","2800090.80","0.00","2.9","-385195.09"
"Total","1059615.54","0","-7.0043","1877297.6","0","1.8133","-817682.06","33009595.33","0","19.1127","35307476.01","0","15.5209","-2297880.68"
