"03-17-2025","Sales Report by Location","","Raleigh,Charleston,Charlotte,Wilmington,Greensboro,Myrtle Beach,Columbia,Greenville,Savannah,Atlanta,Richmond","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Location","MTD Net Sales","MTD Net Labor","MTD Net GP%","LYMTD Net Sales","LYMTD Net Labor","LYMTD Net GP%","Sales(Inc-Des)","YTD Net Sales","YTD Net Labor","YTD Net GP%","LYTD Net Sales","LYTD Net Labor","LYTD Net GP%","Sales(Inc-Des)"
"Charleston","27305.73","0.00","-1206.09","282250.21","0.00","-77.4800","-254944.48","1574581.74","0.00","-40.76","1732431.64","0.00","28.48","-157849.9"
"Charlotte","330002.30","0.00","14.88","342889.44","0.00","14.1500","-12887.14","4979756.73","0.00","21.59","3848641.85","0.00","15.68","1131114.88"
"Columbia","225594.44","0.00","27.72","272248.30","0.00","32.9000","-46653.86","1269403.18","0.00","19.71","1925841.76","0.00","41.06","-656438.58"
"Greensboro","126641.50","0.00","5.4","169318.92","0.00","48.5300","-42677.42","893971.48","0.00","8.95","1780570.99","0.00","20.53","-886599.51"
"Greenville","342455.64","0.00","19","142959.00","0.00","20.3400","199496.64","1546140.18","0.00","17.03","1301920.43","0.00","22.86","244219.75"
"Myrtle Beach","689308.41","0.00","24.3","705626.10","0.00","20.7000","-16317.69","3507963.79","0.00","25.89","2777855.61","0.00","19.65","730108.18"
"Raleigh","732226.17","0.00","-9.5","1562811.25","0.00","-5.8300","-830585.08","7259251.01","0.00","22.24","10065566.15","0.00","11.12","-2806315.14"
"Wilmington","358579.50","0.00","11.73","196902.27","0.00","-421.9600","161677.23","1882605.56","0.00","11.41","2094720.09","0.00","2.88","-212114.53"
"Total","2832113.69","0","-0.2039","3675005.49","0","-20.2773","-842891.8","22913673.67","0","16.4293","25527548.52","0","16.7502","-2613874.85"
