"05-15-2025","Sales Report by Location","","Raleigh,Charleston,Charlotte,Wilmington,Greensboro,Myrtle Beach,Columbia,Greenville,Savannah,Atlanta,Richmond","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Location","MTD Net Sales","MTD Net Labor","MTD Net GP%","LYMTD Net Sales","LYMTD Net Labor","LYMTD Net GP%","Sales(Inc-Des)","YTD Net Sales","YTD Net Labor","YTD Net GP%","LYTD Net Sales","LYTD Net Labor","LYTD Net GP%","Sales(Inc-Des)"
"Charleston","84279.09","0.00","-318.37","207215.33","0.00","-168.9400","-122936.24","3780026.51","0.00","-7.95","3340691.62","0.00","-7.39","439334.89"
"Charlotte","566495.44","0.00","22.56","291676.47","0.00","12.6200","274818.97","9488526.49","0.00","18.48","8253814.11","0.00","20.26","1234712.38"
"Columbia","200566.17","0.00","9.41","262242.41","0.00","12.8200","-61676.24","2692257.80","0.00","20.33","3245804.93","0.00","26.46","-553547.13"
"Greensboro","120053.30","0.00","-19.31","346377.34","0.00","-6.9700","-226324.04","2263411.88","0.00","13.84","3017627.54","0.00","12.4","-754215.66"
"Greenville","458453.20","0.00","19.5","199914.04","0.00","19.5200","258539.16","3777956.95","0.00","25.59","2398655.17","0.00","21.74","1379301.78"
"Myrtle Beach","923229.05","0.00","22.34","963067.86","0.00","9.4500","-39838.81","6996194.02","0.00","23.98","5825696.26","0.00","18.58","1170497.76"
"Raleigh","1168639.76","0.00","-24.58","1896682.43","0.00","25.3200","-728042.67","16564988.59","0.00","15.18","19112448.81","0.00","14.44","-2547460.22"
"Wilmington","516245.62","0.00","2.9","81128.62","0.00","25.7500","435117","4369948.09","0.00","16.06","3085314.07","0.00","5.9","1284634.02"
"Total","4037961.63","0","-3.0088","4248304.5","0","7.7050","-210342.87","49933310.33","0","16.3690","48280052.51","0","14.9238","1653257.82"
