"03-27-2025","Open PO Report by Vendor, Salesman, Date Created","From:01-27-2025 To 03-27-2025 (mm-dd-yyyy)","all","","","","","","",""
"","","","","","","","","","",""
"Vendor","Location","PO#","Status","Date Created","So#","AC#","Job Name","Sales Person","CP#","Open total"
"","Columbia","P130-1221230","Approved","03/12/2025","S130-306487","Stanley Martin Homes - Columbia","146 Harvest Ridge","","joseph.green","3,532.38"
"","Columbia","P130-1221072","Approved","03/12/2025","S130-306231","Stanley Martin Homes - Columbia","145 Harvest Ridge","","joseph.green","3,649.32"
"","Columbia","P130-1220767","Approved","03/11/2025","S130-306000","Great Southern Homes - Columbia","316 Terrace at Longview","","joseph.green","4,377.77"
"","Columbia","P130-1220024","Approved","03/10/2025","S130-304722","Stanley Martin Homes - Columbia","317 Terrace at Longview","","joseph.green","4,638.86"
"","Columbia","P130-1219856","Approved","03/07/2025","S130-304565","Stanley Martin Homes - Columbia","318 Terrace at Longview","","joseph.green","4,578.53"
"","Columbia","P130-1219788","Approved","03/07/2025","S130-304362","Stanley Martin Homes - Columbia","326 Terrace at Longview","","joseph.green","5,073.76"
"","Columbia","P130-1217044","Approved","02/26/2025","S130-299429","Stanley Martin Homes - Columbia","19 Garners Mill","","joseph.green","3,396.49"
"","Columbia","P130-1216957","Approved","02/26/2025","S130-299368","Stanley Martin Homes - Columbia","20 Garners Mill","","joseph.green","3,105.26"
"","Columbia","P130-1214348","Approved","02/14/2025","S130-294311","Stanley Martin Homes - Columbia","12 Garners Mill","","joseph.green","3,155.82"
"","Columbia","P130-1214320","Approved","02/13/2025","S130-294270","Stanley Martin Homes - Columbia","11 Garners Mill","","joseph.green","3,240.88"
"","Columbia","P130-1214289","Approved","02/13/2025","S130-294224","Stanley Martin Homes - Columbia","10 Garners Mill","","joseph.green","3,317.30"
"","Columbia","P130-1214278","Approved","02/13/2025","S130-294144","Stanley Martin Homes - Columbia","9 Garners Mill","","joseph.green","3,929.03"
"","Columbia","P130-1214234","Approved","02/13/2025","S130-294079","Stanley Martin Homes - Columbia","8 Garners Mill","","joseph.green","3,886.66"
"","Columbia","P130-1214213","Approved","02/13/2025","S130-294014","Stanley Martin Homes - Columbia","7 Garners Mill","","joseph.green","2,758.05"
"ABC Supply - Greensboro","Greensboro","P125-1224267","Approved","03/24/2025","S125-311535","Century Complete - Greensboro","42 Cane Creek","","erica.smith","92.65"
"","Greensboro","P125-1224262","Approved","03/24/2025","S125-311490","Century Complete - Greensboro","42 Cane Creek","","erica.smith","401.77"
"","Greensboro","P125-1224079","Approved","03/24/2025","S125-311335","Century Complete - Greensboro","24 The Pines","","erica.smith","401.77"
"","Greensboro","P125-1224027","Approved","03/24/2025","S125-311283","Century Complete - Greensboro","50 The Pines","","erica.smith","482.51"
"","Greensboro","P125-1224013","Approved","03/24/2025","S125-311254","Century Complete - Greensboro","49 The Pines","","erica.smith","401.77"
"","Greensboro","P125-1224000","Approved","03/24/2025","S125-311223","Century Complete - Greensboro","15 21 Oak","","erica.smith","482.51"
"","Greensboro","P125-1223825","Approved","03/21/2025","S125-310974","Century Complete - Greensboro","4 The Pines at Stoney Point","","erica.smith","436.01"
"","Greensboro","P125-1223804","Approved","03/21/2025","S125-310920","Century Complete - Greensboro","3 The Pines at Stoney Point","","erica.smith","536.11"
"","Greensboro","P125-1223550","Approved","03/20/2025","S125-310363","Century Complete - Greensboro","1022 Chapel Pines","","erica.smith","627.80"
"","Greensboro","P125-1223093","Approved","03/19/2025","S125-309670","Century Complete - Greensboro","1020 Chapel Pines","","erica.smith","482.51"
"","Greensboro","P125-1223027","Approved","03/19/2025","S125-309624","Century Complete - Greensboro","14 21 Oaks","","erica.smith","482.51"
"","Greensboro","P125-1222248","Approved","03/17/2025","S125-308329","Century Complete - Greensboro","43 Cane Creek","","erica.smith","92.65"
"","Greensboro","P125-1222245","Approved","03/17/2025","S125-308281","Century Complete - Greensboro","43 Cane Creek","","erica.smith","521.14"
"","Greensboro","P125-1221867","Approved","03/17/2025","S125-306925","Ram Homes Inc - Greensboro","3 Brighton Oaks","","amy.nugent.gboro","426.06"
"","Greensboro","P125-1221767","Approved","03/14/2025","S125-307584","Century Complete - Greensboro","1019 Chapel Pines","","erica.smith","482.51"
"","Greensboro","P125-1221197","Approved","03/12/2025","S125-306459","Century Complete - Greensboro","41 Cane Creek","","erica.smith","92.65"
"","Greensboro","P125-1221182","Approved","03/12/2025","S125-306390","Century Complete - Greensboro","41 Cane Creek","","erica.smith","627.80"
"","Greensboro","P125-1221109","Approved","03/12/2025","S125-306356","Century Complete - Greensboro","40 Cane Creek","","erica.smith","92.65"
"","Greensboro","P125-1221014","Approved","03/12/2025","S125-306248","Ram Homes Inc - Greensboro","45 Murraylane North","","amy.nugent.gboro","519.13"
"","Greensboro","P125-1220808","Approved","03/11/2025","S125-306072","Ram Homes Inc - Greensboro","44 Murraylane North","","amy.nugent.gboro","644.15"
"","Greensboro","P125-1220776","Approved","03/11/2025","S125-305979","Ram Homes Inc - Greensboro","43 Murraylane North","","amy.nugent.gboro","498.38"
"","Greensboro","P125-1220738","Approved","03/11/2025","S125-305937","Ram Homes Inc - Greensboro","22 Murraylane North","","amy.nugent.gboro","612.69"
"","Greensboro","P125-1220707","Approved","03/11/2025","S125-305900","Century Complete - Greensboro","39 Cane Creek","","erica.smith","92.65"
"","Greensboro","P125-1220703","Approved","03/11/2025","S125-305890","Century Complete - Greensboro","38 Cane Creek","","erica.smith","92.65"
"","Greensboro","P125-1220094","Approved","03/10/2025","S125-304924","Century Complete - Greensboro","40 Cane Creek","","erica.smith","482.51"
"","Greensboro","P125-1220046","Approved","03/10/2025","S125-304894","Century Complete - Greensboro","39 Cane Creek","","erica.smith","436.01"
"","Greensboro","P125-1217707","Approved","02/27/2025","S125-300937","Ram Homes Inc - Greensboro","21 Murraylane North","","amy.nugent.gboro","733.85"
"","Greensboro","P125-1217695","Approved","02/27/2025","S125-300907","Ram Homes Inc - Greensboro","20 Murraylane North","","amy.nugent.gboro","519.13"
"","Greensboro","P125-1217693","Order Partially Received","02/27/2025","S125-300914","Granville Homes - Greensboro","3 Hayden Park","","erica.smith","23.76"
"","Greensboro","P125-1217683","Order Partially Received","02/27/2025","S125-300873","Granville Homes - Greensboro","2 Hayden Park","","erica.smith","23.76"
"","Greensboro","P125-1217613","Approved","02/27/2025","S125-300699","Ram Homes Inc - Greensboro","19 Murraylane North","","amy.nugent.gboro","644.15"
"","Greensboro","P125-1217569","Order Partially Received","02/27/2025","S125-300495","Granville Homes - Greensboro","1 Hayden Park","","erica.smith","23.76"
"","Greensboro","P125-1217556","Approved","02/27/2025","S125-300426","Ram Homes Inc - Greensboro","9 Murraylane North","","amy.nugent.gboro","519.13"
"","Greensboro","P125-1216234","Approved","02/24/2025","S125-297978","Ram Homes Inc - Greensboro","6 Murraylane North","","amy.nugent.gboro","653.00"
"","Greensboro","P125-1216187","Approved","02/24/2025","S125-297893","Ram Homes Inc - Greensboro","5 Murraylane North","","amy.nugent.gboro","742.70"
